date,OT
2019-01-01 1:00,163.47
2019-01-01 2:00,163.41
2019-01-01 3:00,163.26
2019-01-01 4:00,163.01
2019-01-01 5:00,162.65
2019-01-01 6:00,162.19
2019-01-01 7:00,161.64
2019-01-01 8:00,161.02
2019-01-01 9:00,160.37
2019-01-01 10:00,159.71
2019-01-01 11:00,159.1
2019-01-01 12:00,158.59
2019-01-01 13:00,158.22
2019-01-01 14:00,158.04
2019-01-01 15:00,158.09
2019-01-01 16:00,158.37
2019-01-01 17:00,158.89
2019-01-01 18:00,159.61
2019-01-01 19:00,160.49
2019-01-01 20:00,161.48
2019-01-01 21:00,162.49
2019-01-01 22:00,163.46
2019-01-01 23:00,164.35
2019-01-02 0:00,165.11
2019-01-02 1:00,165.74
2019-01-02 2:00,166.21
2019-01-02 3:00,166.54
2019-01-02 4:00,166.74
2019-01-02 5:00,166.83
2019-01-02 6:00,166.83
2019-01-02 7:00,166.75
2019-01-02 8:00,166.61
2019-01-02 9:00,166.42
2019-01-02 10:00,166.19
2019-01-02 11:00,165.93
2019-01-02 12:00,165.68
2019-01-02 13:00,165.44
2019-01-02 14:00,165.22
2019-01-02 15:00,165.03
2019-01-02 16:00,164.85
2019-01-02 17:00,164.67
2019-01-02 18:00,164.48
2019-01-02 19:00,164.26
2019-01-02 20:00,164.01
2019-01-02 21:00,163.72
2019-01-02 22:00,163.37
2019-01-02 23:00,162.99
2019-01-03 0:00,162.57
2019-01-03 1:00,162.13
2019-01-03 2:00,161.68
2019-01-03 3:00,161.25
2019-01-03 4:00,160.86
2019-01-03 5:00,160.53
2019-01-03 6:00,160.26
2019-01-03 7:00,160.07
2019-01-03 8:00,159.95
2019-01-03 9:00,159.91
2019-01-03 10:00,159.92
2019-01-03 11:00,159.98
2019-01-03 12:00,160.06
2019-01-03 13:00,160.16
2019-01-03 14:00,160.26
2019-01-03 15:00,160.38
2019-01-03 16:00,160.53
2019-01-03 17:00,160.75
2019-01-03 18:00,161.1
2019-01-03 19:00,161.61
2019-01-03 20:00,162.32
2019-01-03 21:00,163.21
2019-01-03 22:00,164.24
2019-01-03 23:00,165.35
2019-01-04 0:00,166.47
2019-01-04 1:00,167.54
2019-01-04 2:00,168.51
2019-01-04 3:00,169.37
2019-01-04 4:00,170.16
2019-01-04 5:00,170.91
2019-01-04 6:00,171.67
2019-01-04 7:00,172.44
2019-01-04 8:00,173.19
2019-01-04 9:00,173.8
2019-01-04 10:00,174.08
2019-01-04 11:00,173.75
2019-01-04 12:00,172.49
2019-01-04 13:00,170.02
2019-01-04 14:00,166.18
2019-01-04 15:00,161
2019-01-04 16:00,154.81
2019-01-04 17:00,148.23
2019-01-04 18:00,142.11
2019-01-04 19:00,137.36
2019-01-04 20:00,134.85
2019-01-04 21:00,135.3
2019-01-04 22:00,138.82
2019-01-04 23:00,144.58
